fiyat,tarih,boyut,m2,yaş,kat,adres
15.500,09-02-2024,2 + 1,85 m²,2 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
14.500,06-02-2024,1 + 1,75 m²,25 Yaşında,2. Kat,"Kağıthane, Sultan Selim Mahallesi"
19.500,05-02-2024,2 + 1,85 m²,20 Yaşında,En Üst Kat,"Kağıthane, Seyrantepe Mahallesi"
21.000,06-02-2024,1 + 1,55 m²,25 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
24.000,29-01-2024,2 + 1,80 m²,1 Yaşında,Gürsel Residence 3-12 Ay İçin Müsait Kiralık Eşyalı 2+1 Daire اجاره واحد دو خواب مبله,Behzad
13.000,05-02-2024,2 + 1,85 m²,8 Yaşında,Kot 1,"Kağıthane, Gültepe Mahallesi"
47.000,09-02-2024,3 + 1,165 m²,16 Yaşında,Ara Kat,"Kağıthane, Hamidiye Mahallesi"
14.500,09-02-2024,1 + 1,80 m²,8 Yaşında,Çatı Katı,"Kağıthane, Hürriyet Mahallesi"
22.000,09-02-2024,1 + 1,70 m²,4 Yaşında,3. Kat,"Kağıthane, Çağlayan Mahallesi"
23.000,09-02-2024,3 + 1,150 m²,5 Yaşında,4. Kat,"Kağıthane, Yahya Kemal Mahallesi"
22.000,09-02-2024,2 + 1,85 m²,4 Yaşında,3. Kat,"Kağıthane, Talatpaşa Mahallesi"
55.000,09-02-2024,2 + 1,117 m²,4 Yaşında,3. Kat,"Kağıthane, Yahya Kemal Mahallesi"
22.500,09-02-2024,3 + 1,130 m²,8 Yaşında,Tempa Emlak Ofisi’Nden Kağıthane Hamidiye Mh'De Asansörlü Kiralık Dubleks Daire,Taylan
16.000,09-02-2024,2 + 1,100 m²,5 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
15.000,09-02-2024,2 + 1,90 m²,5 Yaşında,2. Kat,"Kağıthane, Şirintepe Mahallesi"
25.000,09-02-2024,2 + 1,85 m²,2 Yaşında,10. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
25.500,09-02-2024,2 + 1,80 m²,Sıfır Bina,Resim Modern - Site İçi 2+1 Sıfır Boş Daire!!!,Tamer
23.000,09-02-2024,3 + 1,150 m²,5 Yaşında,4. Kat,"Kağıthane, Merkez Mahallesi"
22.000,09-02-2024,2 + 1,90 m²,7 Yaşında,2. Kat,"Kağıthane, Seyrantepe Mahallesi"
13.000,09-02-2024,2 + 1,80 m²,25 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
17.000,09-02-2024,1 + 1,70 m²,28 Yaşında,Emniyetevler 4.Leventte Metroya Yakın Eşyalı Kiralık 1+1 Daire,Savaş
14.500,09-02-2024,1 + 1,60 m²,13 Yaşında,Giriş Katı,"Kağıthane, Sultan Selim Mahallesi"
18.000,09-02-2024,2 + 1,95 m²,8 Yaşında,1. Kat,"Kağıthane, Gültepe Mahallesi"
25.000,09-02-2024,3 + 1,120 m²,20 Yaşında,6. Kat,"Kağıthane, Merkez Mahallesi"
35.000,09-02-2024,1 + 1,60 m²,3 Yaşında,Avrupa Konutları Çamlıvadi 1+1 Güncel Kiralık Daire,Mehmet
18.000,09-02-2024,1 + 1,60 m²,Sıfır Bina,Resım Modern- Site İçi 1+1 Sıfır Boş Daire !!!,Tamer
8.100,07-02-2024,1 + 1,55 m²,25 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
14.500,09-02-2024,1 + 1,65 m²,12 Yaşında,Giriş Katı,"Kağıthane, Sultan Selim Mahallesi"
15.100,09-02-2024,2 + 1,75 m²,Sıfır Bina,Kot 2,"Kağıthane, Yeşilce Mahallesi"
17.000,09-02-2024,2 + 1,85 m²,28 Yaşında,4. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
17.500,09-02-2024,2 + 1,95 m²,8 Yaşında,1. Kat,"Kağıthane, Gültepe Mahallesi"
5.000,26-01-2024,1 + 1,120 m²,10 Yaşında,Yüksek Giriş,"Kağıthane, Hamidiye Mahallesi"
11.000,09-02-2024,1 + 1,65 m²,21 Yaşında,Yüksek Giriş,"Kağıthane, Gültepe Mahallesi"
22.500,09-02-2024,1 + 1,65 m²,3 Yaşında,5. Kat,"Kağıthane, Merkez Mahallesi"
20.000,09-02-2024,2 + 2,135 m²,5 Yaşında,6. Kat,"Kağıthane, Hürriyet Mahallesi"
15.250,28-01-2024,2 + 1,85 m²,Sıfır Bina,Giriş Katı,"Kağıthane, Talatpaşa Mahallesi"
